Menu Type,Menu Depth,Target Item,Menu Breadth
Marking,1,Animals,4
Marking,1,Food,4
Marking,1,Continents,4
Marking,2,Tops,4
Marking,2,America,4
Marking,2,Vegetables,4
Marking,3,Butter,4
Marking,3,Singapore,4
Marking,3,Shark,4
Marking,1,Clothing,2
Marking,1,Animals,2
Marking,1,Animals,2
Marking,2,Reptiles,2
Marking,2,Bottoms,2
Marking,2,Tops,2
Marking,3,Jacket,2
Marking,3,Dogs,2
Marking,3,Lizard,2
Radial,1,Continents,4
Radial,1,Food,4
Radial,1,Animals,4
Radial,2,Fish,4
Radial,2,Fruit,4
Radial,2,Africa,4
Radial,3,Boots,4
Radial,3,Bacon,4
Radial,3,Hamsters,4
Radial,1,Animals,2
Radial,1,Clothing,2
Radial,1,Clothing,2
Radial,2,Reptiles,2
Radial,2,Bottoms,2
Radial,2,Mammals,2
Radial,3,Dogs,2
Radial,3,Jacket,2
Radial,3,Skirt,2